;;;;;;;;;;;;;;;;;;;;;;;
;'DADOS DA COMPANHIA';;;;' INFORMAÇÕES DA OFERTA';;;;;' ANÚNCIO DE ENCERRAMENTO ';;;;;'PARTICIPAÇÃO DOS INVESTIDORES (%) ³';;;;;' VOLUME TOTAL (R$) ';;;
;'NOME DE PREGÃO';'LISTAGEM NA OFERTA';'CLASSIFICAÇÃO SETORIAL (SEGMENTO)';'COORDENADOR LÍDER';'CLASSIFICAÇÃO';'TIPO';'FIXAÇÃO DE PREÇO';'PREÇO POR AÇÃO / UNIT / BDR (LÇTO.)4';'INÍCIO DE NEGOCIAÇÃO';'Nº DE PESSOAS FÍSICAS';' Nº TOTAL DE INVESTIDORES ';' VOLUME PRIMÁRIA (R$) ';' VOLUME SECUNDÁRIA (R$) ';'VOLUME TOTAL (R$)';'VAREJO';'INSTITUCIONAL';'ESTRANGEIROS';'OUTROS';;'ANO';'IPO';'FOLLOW-ON';'TOTAL'
;'SEQUOIA LOG';'NM';'SERVIÇOS DIVERSOS';'BTG PACTUAL';'IPO';'ICVM 400';5/10/2020;12.40;07/10/20;' 572 ';' 705 ';' 348.070.170 ';' 557.787.687 ';' 905.857.857 ';4%;27%;69%;0%;;;;;
;'GRUPO MATEUS';'NM';'ALIMENTOS';'XP INVESTIMENTOS';'IPO';'ICVM 400';8/10/2020;8.97;13/10/20;' 16.162 ';' 17.115 ';' 3.099.286.441 ';' 1.062.364.462 ';' 4.161.650.902 ';10%;61%;27%;1%;;;;;
;'GRUPO NATURA';'NM';'PRODUTOS DE USO PESSOAL';'MORGAN STANLEY';'FOLLOW-ON';'ICVM 476';8/10/2020;46.25;13/10/20;' - ';' 1.635 ';' 5.614.750.000 ';' - ';' 5.614.750.000 ';0%;37%;10%;32%;;;;;
;'TRACK FIELD';'N2';'VESTUÁRIO';'BTG PACTUAL';'IPO';'ICVM 400';22/10/2020;9.25;26/10/20;' 1.267 ';' 1.422 ';' 182.391.500 ';' 309.825.050 ';' 492.216.550 ';7%;68%;24%;1%;;;;;
;'MELIUZ';'NM';'PROGRAMAS E SERVIÇOS';'ITAÚ BBA';'IPO';'ICVM 400';3/11/2020;10.00;04/11/20;' 1.066 ';' 1.256 ';' 334.677.510 ';' 294.718.120 ';' 629.395.630 ';10%;63%;26%;1%;;;;;
;'ENJOEI';'NM';'PROGRAMAS E SERVIÇOS';'BTG PACTUAL';'IPO';'ICVM 400';5/11/2020;10.25;06/11/20;' 1.221 ';' 1.447 ';' 470.833.750 ';' 515.883.761 ';' 986.717.511 ';11%;71%;18%;0%;;;;;
;'AURA 360';'BDR';'MINERAIS METÁLICOS';'XP INVESTIMENTOS';'FOLLOW-ON';'ICVM 400';6/11/2020;48.50;09/11/20;' 543 ';' 580 ';' - ';' 87.300.000 ';' 87.300.000 ';14%;77%;0%;9%;;;;;
;'AERIS';'NM';'MÁQ. E EQUIP. INDUSTRIAIS';'BTG PACTUAL';'IPO';'ICVM 400';9/11/2020;5.55;10/11/20;' 1.161 ';' 1.330 ';' 834.634.608 ';' 294.576.884 ';' 1.129.211.492 ';3%;30%;66%;0%;;;;;
;'3R PETROLEUM';'NM';'EXPLORAÇÃO. REFINO E DISTRIBUIÇÃO';'XP INVESTIMENTOS';'IPO';'ICVM 400';9/11/2020;21.00;10/11/20;' 1.412 ';' 1.516 ';' 690.000.003 ';' - ';' 690.000.003 ';8%;57%;17%;18%;;;;;
;'BK BRASIL';'NM';'RESTAURANTE E SIMILARES';'ITAÚ BBA';'FOLLOW-ON';'ICVM 476';17/11/2020;10.80;19/11/20;' 324 ';' 505 ';' 510.300.000 ';' - ';' 510.300.000 ';0%;42%;51%;7%;;;;;
;'ANIMA';'NM';'SERVIÇOS EDUCACIONAIS';'BRADESCO BBI';'FOLLOW-ON';'ICVM 476';3/12/2020;34.00;07/12/20;' - ';' 297 ';' 918.000.000 ';' - ';' 918.000.000 ';0%;45%;12%;43%;;;;;
;'INTERMEDICA';'NM';'SERV.MÉD.HOSPIT..ANÁLISES E DIAGNÓSTICOS';'ITAÚ  BBA';'FOLLOW-ON';'ICVM 476';1/12/2020;69.50;03/12/20;' - ';' 436 ';' - ';' 3.753.000.000 ';' 3.753.000.000 ';0%;47%;53%;0%;;;;;
;'ALPHAVILLE';'NM';'INCORPORAÇÕES';'BRADESCO BB';'IPO';'ICVM 476';9/12/2020;29.50;07/12/20;' 6 ';' 39 ';' 305.992.585 ';' - ';' 305.992.585 ';2%;81%;4%;13%;;;;;
;'REDE D OR';'NM';'SERV.MÉD.HOSPIT..ANÁLISES E DIAGNÓSTICOS';'BANK OF AMERICA';'IPO';'ICVM 400';9/12/2020;57.92;10/12/20;' 41.258 ';' 43.237 ';' 8.437.640.047 ';' 2.953.173.990 ';' 11.390.814.037 ';11%;42%;47%;1%;;;;;
;'NEOGRID';'NM';' PROGRAMAS E SERVIÇOS';'CREDIT SUISSE';'IPO';'ICVM 400';15/12/2020;4.50;18/12/20;' 2.747 ';' 2.964 ';' 337.500.000 ';' 148.950.000 ';' 486.450.000 ';18%;55%;27%;1%;;;;;
;'LIGHT S/A';'NM';'ENERGIA ELÉTRICA';'ITAÚ BBA';'FOLLOW-ON';'ICVM 476';19/1/2021;20.00;21/01/21;' 278 ';' 663 ';' 1.372.425.280 ';' 1.372.425.280 ';' 2.744.850.560 ';0%;66%;34%;0%;;;;;
;'HBRREALTY';'NM';'EXPLORAÇÃO DE IMÓVEIS';'BRADESCO BBI';'IPO';'ICVM 476';21/1/2021;19.10;21/01/21;' - ';' 31 ';' 802.582.000 ';' - ';' 802.582.000 ';0%;59%;9%;33%;;;;;
;'VAMOS';'NM';'ALUGUEL DE CARROS';'BTG PACTUAL';'IPO';'ICVM 476';27/1/2021;26.00;29/01/21;' - ';' 60 ';' 889.598.528 ';' 415.145.952 ';' 1.304.744.480 ';0%;43%;57%;0%;;;;;
;'OMEGA GER';'NM';'ENERGIA ELÉTRICA';'ITAÚ BBA';'FOLLOW-ON';'ICVM 476';28/1/2021;39.00;02/02/21;' - ';' 191 ';' - ';' 954.719.922 ';' 954.719.922 ';0%;67%;31%;1%;;;;;
;'BTGP BANCO';'N2';'BANCOS';'BTG PACTUAL';'FOLLOW-ON';'ICVM 476';21/1/2021;30.84;26/02/21;' - ';' 1.674 ';' 2.570.000.021 ';' - ';' 2.570.000.021 ';0%;45%;16%;38%;;;;;
;'PETRORIO';'NM';'EXPLORAÇÃO. REFINO E DISTRIBUIÇÃO';'BTG PACTUAL';'FOLLOW-ON';'ICVM 476';28/1/2021;69.00;01/02/21;' - ';' 1.499 ';' 2.049.300.000 ';' - ';' 2.049.300.000 ';0%;56%;15%;29%;;;;;
;'BRASILAGRO';'NM';'AGRICULTURA';'BTG PACTUAL';'FOLLOW-ON';'ICVM 476';3/2/2021;22.00;05/02/21;' - ';' 550 ';' 440.000.000 ';' 60.177.810 ';' 500.177.810 ';0%;37%;48%;14%;;;;;
;'LOCAWEB';'NM';'PROGRAMAS E SERVIÇOS';'ITAÚ BBA';'FOLLOW-ON';'ICVM 476';9/2/2021;30.00;11/02/21;' 1.530 ';' 2.638 ';' 2.346.000.000 ';' 408.000.000 ';' 2.754.000.000 ';1%;38%;61%;0%;;;;;
;'ESPACOLASER';'NM';'PRODUTOS DIVERSOS';'ITAÚ BBA';'IPO';'ICVM 400';28/1/2021;17.90;01/02/21;' 7.135 ';' 7.837 ';' 1.199.999.997 ';' 1.441.623.255 ';' 2.641.623.252 ';10%;62%;27%;1%;;;;;
;'INTELBRAS';'NM';'COMPUTADORES E EQUIPAMENTOS';'BTG PACTUAL';'IPO';'ICVM 400';2/2/2021;15.75;04/02/21;' 16.772 ';' 17.280 ';' 724.500.000 ';' 579.600.000 ';' 1.304.100.000 ';12%;77%;12%;0%;;;;;
;'MOSAICO';'NM';'PROGRAMAS E SERVIÇOS';'BTG PACTUAL';'IPO';'ICVM 400';3/2/2021;19.80;05/02/21;' 31.017 ';' 32.377 ';' 578.571.444 ';' 636.428.668 ';' 1.215.000.112 ';11%;72%;15%;1%;;;;;
;'MOBLY';'NM';'PROGRAMAS E SERVIÇOS';'MORGAN STANLEY';'IPO';'ICVM 400';3/2/2021;21.00;05/02/21;' 3.249 ';' 3.591 ';' 777.777.798 ';' 155.555.547 ';' 933.333.345 ';10%;38%;44%;9%;;;;;
;'JALLESMACHADO';'NM';'AÇUCAR E ALCOOL';'XP INVESTIMENTOS';'IPO';'ICVM 400';4/2/2021;8.30;08/02/21;' 3.985 ';' 4.465 ';' 552.760.005 ';' 138.189.995 ';' 690.950.000 ';9%;60%;29%;2%;;;;;
;'FOCUS ON';'NM';'ENERGIA ELÉTRICA';'MORGAN STANLEY';'IPO';'ICVM 400';21/1/2021;18.02;08/02/21;' 1.776 ';' 2.019 ';' 764.999.997 ';' 7.649.995 ';' 772.649.991 ';11%;42%;47%;0%;;;;;
;'CRUZEIRO SUL';'NM';'SERVIÇOS EDUCACIONAIS';'BTG PACTUAL';'IPO';'ICVM 400';9/2/2021;14.00;11/02/21;' 2.517 ';' 2.763 ';' 1.071.000.000 ';' 160.650.000 ';' 1.231.650.000 ';9%;51%;29%;0%;;;;;
;'OCEANPACT';'NM';'EQUIPAMENTOS E SERVIÇOS';'ITAÚ BBA';'IPO';'ICVM 400';10/2/2021;11.15;12/02/21;' 2.831 ';' 3.114 ';' 800.000.001 ';' 270.000.004 ';' 1.070.000.005 ';11%;76%;12%;0%;;;;;
;'ORIZON';'NM';'ÁGUA E SANEAMENTO';'CREDIT SUISSE';'IPO';'ICVM 400';11/2/2021;22.00;17/02/21;' 4.867 ';' 5.233 ';' 381.399.040 ';' 105.465.778 ';' 486.864.818 ';17%;52%;28%;2%;;;;;
;'ELETROMIDIA';'NM';'PUBLICIDADE E PROPAGANDA';'MORGAN STANLEY';'IPO';'ICVM 400';11/2/2021;17.81;17/02/21;' 2.769 ';' 3.019 ';' 700.000.001 ';' 57.944.301 ';' 757.944.302 ';9%;50%;40%;0%;;;;;
;'BEMOBI TECH';'NM';'PROGRAMAS E SERVIÇOS';'BTG PACTUAL';'IPO';'ICVM 400';8/2/2021;22.00;10/02/21;' 12.697 ';' 13.620 ';' 1.094.117.684 ';' 164.117.646 ';' 1.258.235.330 ';11%;76%;13%;0%;;;;;
;'CSNMINERACAO';'N2';'MINERAIS METÁLICOS';'MORGAN STANLEY';'IPO';'ICVM 400';12/2/2021;8.50;18/02/21;' 66.255 ';' 67.524 ';' 1.796.903.409 ';' 3.168.372.816 ';' 4.965.276.224 ';20%;29%;50%;1%;;;;;
;'WESTWING';'NM';'PROGRAMAS E SERVIÇOS';'BTG PACTUAL';'IPO';'ICVM 400';8/2/2021;13.00;10/02/21;' 8.368 ';' 9.130 ';' 430.294.306 ';' 602.412.018 ';' 1.032.706.324 ';12%;77%;11%;0%;;;;;
;'3R PETROLEUM';'NM';'EXPLORAÇÃO. REFINO E DISTRIBUIÇÃO';'BTG PACTUAL';'FOLLOW-ON';'ICVM 476';30/3/2021;36.00;01/04/21;' - ';' 1.184 ';' 822.798.000 ';' - ';' 822.798.000 ';0%;62%;23%;14%;;;;;
;'DASA';'BÁSICO';'SERV. MÉD. HOSPIT.. ANÁLISES E DIAGNÓSTICOS';'BRADESCO BBI';'FOLLOW-ON';'ICVM 476';7/4/2021;58.00;08/04/21;' 35 ';' 287 ';' 3.666.272.974 ';' 120.734.888 ';' 3.787.007.862 ';0%;21%;53%;26%;;;;;
;'ALLIED';'NM';'ELETRODOMÉSTICOS';'BTG PACTUAL';'IPO';'ICVM 476';8/4/2021;18.00;12/04/21;' 2 ';' 38 ';' 180.000.000 ';' 90.000.000 ';' 270.000.000 ';1%;70%;15%;0%;;;;;
;'MATER DEI';'NM';'SERV.MÉD.HOSPIT..ANÁLISES E DIAGNÓSTICOS';'BTG PACTUAL';'IPO';'ICVM 400';14/4/2021;17.44;16/04/21;' 2.765 ';' 3.069 ';' 1.194.727.566 ';' 218.399.986 ';' 1.413.127.553 ';9%;71%;19%;1%;;;;;
;'BLAU';'NM';'MEDICAMENTOS E OUTROS PRODUTOS';'ITAÚ BBA';'IPO';'ICVM 400';8/4/2021;40.14;19/04/21;' 1.765 ';' 2.017 ';' 1.260.152.711 ';' - ';' 1.260.152.711 ';5%;46%;49%;0%;;;;;
;'GPS';'NM';'SERVIÇOS DIVERSOS';'ITAÚ BBA';'IPO';'ICVM 400';22/4/2021;12.00;26/04/21;' 1.669 ';' 1.994 ';' 1.082.251.080 ';' 1.406.926.404 ';' 2.489.177.484 ';4%;71%;25%;0%;;;;;
;'BOA SAFRA';'NM';'AGRICULTURA';'XP INVESTIMENTOS';'IPO';'ICVM 400';27/4/2021;9.90;29/04/21;' 15.557 ';' 16.158 ';' 459.999.995 ';' - ';' 459.999.995 ';14%;70%;15%;1%;;;;;
;'CAIXA SEGURI²';'NM';'SEGURADORAS';'MORGAN STANLEY';'IPO';'ICVM 400';27/4/2021;9.67;29/04/21;' - ';' - ';' - ';' 4.351.500.000 ';' 4.351.500.000 ';0%;0%;0%;0%;;;;;
;'MODALMAIS';'N2';'BANCOS';'CREDIT SUISSE';'IPO';'ICVM 400';28/4/2021;20.01;30/04/21;' 4.310 ';' 4.770 ';' 2.477.788.275 ';' 715.357.500 ';' 3.193.145.775 ';7%;16%;12%;0%;;;;;
;'SEQUOIA LOG';'NM';'SERVIÇOS DIVERSOS';'BTG PACTUAL';'FOLLOW-ON';'ICVM 476';15/4/2021;25.00;19/04/21;' - ';' 290 ';' 207.182.325 ';' 918.282.900 ';' 1.125.465.225 ';0%;38%;35%;6%;;;;;
;'ALUPAR';'N2';'ENERGIA ELÉTRICA';'ITAÚ BBA';'FOLLOW-ON';'ICVM 476';20/4/2021;25.50;23/04/21;' - ';' 155 ';' - ';' 896.650.227 ';' 896.650.227 ';0%;80%;20%;0%;;;;;
;'HAPVIDA';'NM';'SERV. MÉD. HOSPIT.. ANÁLISES E DIAGNÓSTICOS';'BTG  PACTUAL';'FOLLOW-ON';'ICVM 476';20/4/2021;15.00;23/04/21;' - ';' 1.058 ';' 2.025.000.000 ';' 675.000.000 ';' 2.700.000.000 ';0%;61%;30%;10%;;;;;
;'LOJAS RENNER';'NM';'TECIDOS. VESTUÁRIO E CALÇADOS';'ITAÚ BBA';'FOLLOW-ON';'ICVM 476';29/4/2021;39.00;03/05/21;' 2.205 ';' 3.160 ';' 3.978.000.000 ';' - ';' 3.978.000.000 ';0%;50%;50%;0%;;;;;
;'INFRACOMM';'NM';'PROGRAMAS E SERVIÇOS';'ITAÚ BBA';'IPO';'ICVM 476';30/4/2021;16.00;04/05/21;' 1 ';' 137 ';' 902.388.000 ';' - ';' 902.388.000 ';0%;71%;40%;0%;;;;;
;'PETRORECSA';'NM';'EXPLORAÇÃO. REFINO E DISTRIBUIÇÃO';'ITAÚ BBA';'IPO';'ICVM 400';3/5/2021;14.75;05/05/21;' 2.596 ';' 2.926 ';' 1.187.375.000 ';' - ';' 1.187.375.000 ';10%;79%;11%;0%;;;;;
;'GETNINJAS';'NM';'PROGRAMAS E SERVIÇOS';'BTG PACTUAL';'IPO';'ICVM 400';18/5/2021;20.00;13/05/21;' 1.205 ';' 1.343 ';' 321.285.160 ';' 160.754.620 ';' 482.039.780 ';7%;79%;13%;0%;;;;;
;'G2D INVEST';'BDR';'GESTÃO DE RECURSOS E INVESTIMENTOS';'BTG PACTUAL';'IPO';'ICVM 400';13/5/2021;7.16;14/05/21;' 5.124 ';' 5.387 ';' 281.062.399 ';' - ';' 281.062.399 ';60%;2%;13%;25%;;;;;
;'REDE D OR';'NM';'SERV.MÉD.HOSPIT..ANÁLISES E DIAGNÓSTICOS';'BOFA MERRILL LYNCH';'FOLLOW-ON';'ICVM 476';26/5/2021;71.00;28/05/21;' - ';' 2.362 ';' 1.777.840.000 ';' 3.111.220.000 ';' 4.889.060.000 ';0%;50%;48%;3%;;;;;
;'DOTZ';'NM';'PROGRAMAS DE FIDELIZAÇÃO';'BTG PACTUAL';'IPO';'ICVM 476';27/5/2021;13.20;31/05/21;' - ';' 24 ';' 390.720.000 ';' - ';' 390.720.000 ';0%;45%;52%;7%;;;;;
;'ECORODOVIAS';'NM';'EXPLORAÇÃO DE RODOVIAS';'BTG PACTUAL';'FOLLOW-ON';'ICVM 476';22/6/2021;12.50;24/06/21;' - ';' 7 ';' 1.720.439.300 ';' 250.000.000 ';' 1.970.439.300 ';0%;13%;0%;0%;;;;;
;'BTGP BANCO';'N2';'BANCOS';'BTG PACTUAL. BRADESCO BBI';'FOLLOW-ON';'ICVM 476';8/6/2021;40.67;10/06/21;' - ';' 2.059 ';' 2.977.288.020 ';' - ';' 2.977.288.020 ';0%;50%;21%;37%;;;;;
;'BANCO INTER';'N2';'BANCOS';'BRADESCO BBI';'FOLLOW-ON';'ICVM 476';24/6/2021;19.28;28/06/21;' 18.015 ';' 20.757 ';' 5.499.999.970 ';' - ';' 5.499.999.970 ';2%;25%;74%;0%;;;;;
;'BR PARTNERS';'N2';'BANCOS';'BTG PACTUAL';'IPO';'ICVM 476';17/6/2021;16.00;21/06/21;' - ';' 84 ';' 1.092.000.000 ';' - ';' 1.092.000.000 ';0%;34%;3%;0%;;;;;
;'GRUPO SOMA';'NM';'TECIDOS. VESTUÁRIO E CALÇADOS';'ITAÚ BBA';'FOLLOW-ON';'ICVM 476';20/7/2021;19.20;22/07/21;' 289 ';' 599 ';' 883.435.584 ';' - ';' 883.435.584 ';0%;90%;10%;0%;;;;;
;'MAGAZ LUIZA';'NM';'ELETRODOMÉSTICOS';'ITAÚ BBA';'FOLLOW-ON';'ICVM 476';22/7/2021;22.75;26/07/21;' 2.827 ';' 3.979 ';' 3.981.250.000 ';' - ';' 3.981.250.000 ';0%;31%;69%;0%;;;;;
;'MELIUZ';'NM';'PROGRAMAS E SERVIÇOS';'BTG PACTUAL';'FOLLOW-ON';'ICVM 476';15/7/2021;57.00;19/07/21;' 1 ';' 1.499 ';' 427.500.000 ';' 727.660.119 ';' 1.155.160.119 ';0%;55%;20%;11%;;;;;
;'3TENTOS';'NM';'AGRICULTURA';'BTG PACTUAL';'IPO';'ICVM 476';7/7/2021;12.25;12/07/21;' 20 ';' 81 ';' 1.152.941.176 ';' 192.156.869 ';' 1.345.098.045 ';1%;99%;16%;0%;;;;;
;'WDC NETWORKS';'NM';'PROGRAMAS E SERVIÇOS';'BTG PACTUAL';'IPO';'ICVM 476';22/7/2021;23.20;26/07/21;' - ';' 35 ';' 450.080.000 ';' - ';' 450.080.000 ';0%;95%;6%;0%;;;;;
;'SMART FIT';'NM';'ATIVIDADES ESPORTIVAS';'ITAÚ BBA';'IPO';'ICVM 400';12/7/2021;23.00;14/07/21;' 16.164 ';' 17.305 ';' 2.645.000.000 ';' - ';' 2.645.000.000 ';9%;41%;31%;19%;;;;;
;'MULTILASER';'NM';'COMPUTADORES E EQUIPAMENTOS';'ITÁU BBA';'IPO';'ICVM 400';20/7/2021;11.10;22/07/21;' 18.708 ';' 19.331 ';' 1.912.676.942 ';' - ';' 1.912.676.942 ';12%;75%;28%;1%;;;;;
;'DESKTOP';'NM';'COMPUTADORES E EQUIPAMENTOS';'ITAÚ BBA';'IPO';'ICVM 400';19/7/2021;23.50;21/07/21;' 8.393 ';' 8.845 ';' 715.222.500 ';' - ';' 715.222.500 ';14%;109%;13%;0%;;;;;
;'CBA';'NM';'MINERAIS METÁLICOS';'BOFA MERRILL LYNCH';'IPO';'ICVM 400';13/7/2021;11.20;15/07/21;' 7.782 ';' 8.191 ';' 700.000.000 ';' 910.000.000 ';' 1.610.000.000 ';11%;58%;29%;16%;;;;;
;'PETROBRAS BR';'NM';'EXPLORAÇÃO. REFINO E DISTRIBUIÇÃO';'MORGAN STANLEY';'FOLLOW-ON';'ICVM 400';1/7/2021;26.00;02/07/21;' 4.859 ';' 5.795 ';' - ';' 11.358.750.000 ';' 11.358.750.000 ';6%;59%;34%;0%;;;;;
;'AGROGALAXY';'NM';'AGRICULTURA';'ITAÚ BBA';'IPO';'ICVM 476';22/7/2021;13.75;26/07/21;' - ';' 120 ';' 349.999.994 ';' - ';' 349.999.994 ';0%;0%;0%;0%;;;;;
;'UNIFIQUE';'NM';'TELECOMUNICAÇÕES';'XP INVESTIMENTOS';'IPO';'ICVM 400';23/7/2021;8.60;27/07/21;' 9.372 ';' 9.957 ';' 863.420.899 ';' - ';' 863.420.899 ';14%;58%;27%;2%;;;;;
;'ARMAC';'NM';'MÁQ. E EQUIP. INDUSTRIAIS';'SANTANDER';'IPO';'ICVM 400';26/7/2021;16.63;28/07/21;' 8.076 ';' 8.716 ';' 1.000.300.753 ';' 532.483.071 ';' 1.532.783.824 ';11%;61%;28%;0%;;;;;
;'TC';'NM';'PROGRAMAS E SERVIÇOS';'BTG PACTUAL';'IPO';'ICVM 400';26/7/2021;9.50;28/07/21;' 3.762 ';' 4.230 ';' 544.930.346 ';' - ';' 544.930.346 ';10%;70%;2%;17%;;;;;
;'BRISANET';'NM';'TELECOMUNICAÇÕES';'SANTANDER';'IPO';'ICVM 400';27/7/2021;13.92;29/07/21;' 5.965 ';' 6.183 ';' 1.340.059.998 ';' - ';' 1.340.059.998 ';15%;78%;7%;0%;;;;;
;'CLEARSALE';'NM';'SERVIÇOS FINANCEIROS DIVERSOS';'ITAÚ BBA';'IPO';'ICVM 400';28/7/2021;25.00;30/07/21;' 7.444 ';' 8.026 ';' 795.156.250 ';' 509.967.250 ';' 1.305.123.500 ';10%;51%;39%;1%;;;;;
;'VIVEO';'NM';'MEDICAMENTOS E OUTROS PRODUTOS';'JP MORGAN';'IPO';'ICVM 476';5/8/2021;19.92;09/08/21;' 1 ';' 215 ';' 699.999.995 ';' 1.176.980.292 ';' 1.876.980.287 ';0%;38%;61%;0%;;;;;
;'RAIZEN';'N2';'EXPLORAÇÃO. REFINO E DISTRIBUIÇÃO';'BTG PACTUAL';'IPO';'ICVM 400';3/8/2021;7.40;04/08/21;' 82.316 ';' 85.700 ';' 6.709.671.390 ';' - ';' 6.709.671.390 ';15%;37%;50%;1%;;;;;
;'ONCOCLINICAS';'NM';'SERV.MÉD.HOSPIT..ANÁLISES E DIAGNÓSTICOS';'GOLDMAN SACHS';'IPO';'ICVM 400';6/8/2021;19.75;10/08/21;' 6.528 ';' 6.914 ';' 1.780.423.533 ';' 889.239.089 ';' 2.669.662.622 ';11%;66%;36%;2%;;;;;
;'KORA SAUDE';'NM';'SERV.MÉD.HOSPIT..ANÁLISES E DIAGNÓSTICOS';'ITAÚ BBA';'IPO';'ICVM 476';11/8/2021;7.20;13/08/21;' 19 ';' 80 ';' 769.920.797 ';' - ';' 769.920.797 ';0%;80%;27%;6%;;;;;
;'VITTIA';'NM';'FERTILIZANTES E DEFENSIVOS';'XP INVESTIMENTOS';'IPO';'ICVM 476';31/8/2021;8.60;02/09/21;' 2 ';' 267 ';' 71.611.908 ';' 310.388.095 ';' 382.000.003 ';1%;101%;12%;1%;;;;;
;'SINQIA';'NM';'PROGRAMAS E SERVIÇOS';'BTG PACTUAL';'FOLLOW-ON';'ICVM 476';2/9/2021;23.00;06/09/21;' 1 ';' 1.844 ';' 400.042.680 ';' - ';' 400.042.680 ';0%;55%;19%;26%;;;;;
;'AES BRASIL';'NM';'ENERGIA ELÉTRICA';'BRADESCO BBI';'FOLLOW-ON';'ICVM 476';28/9/2021;12.00;30/09/21;' 2.998 ';' 3.385 ';' 1.116.000.000 ';' - ';' 1.116.000.000 ';1%;28%;19%;51%;;;;;
;'TOTVS';'NM';'PROGRAMAS E SERVIÇOS';'BTG PACTUAL';'FOLLOW-ON';'ICVM 476';21/9/2021;36.75;23/09/21;' - ';' 990 ';' 1.443.172.500 ';' - ';' 1.443.172.500 ';0%;18%;42%;40%;;;;;
;'VAMOS';'NM';'ALUGUEL DE CARROS';'BTG PACTUAL';'FOLLOW-ON';'ICVM 476';23/9/2021;16.75;27/09/21;' - ';' 456 ';' 1.098.532.168 ';' - ';' 1.098.532.168 ';0%;56%;36%;9%;;;;;
;'PETZ';'NM';'PRODUTOS DIVERSOS';'ITAÚ BBA';'FOLLOW-ON';'ICVM 476';18/11/2021;19.00;22/11/21;' 647 ';' 1.098 ';' 779.000.000 ';' - ';' 779.000.000 ';0%;61%;39%;0%;;;;;
;'3R PETROLEUM';'NM';'EXPLORAÇÃO. REFINO E DISTRIBUIÇÃO';'ITAÚ BBA';'FOLLOW-ON';'ICVM 476';4/11/2021;33.00;08/11/21;' 1.041 ';' 1.553 ';' 2.168.100.000 ';' 240.900.000 ';' 2.409.000.000 ';1%;82%;17%;0%;;;;;
;'NU-NUBANK*';'BDR PATROCINADO NÍVEL 3';'BANCOS';'NUINVEST CORRETORA DE VALORES S.A.';'IPO';'ICVM 400';8/12/2021;8.36;09/12/21;' - ';' - ';' 405.680.537 ';' - ';' 405.680.537 ';0%;0%;0%;0%;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;'¹ DADOS REFERENTES SOMENTE À ("OFERTA BRASILEIRA").';;;;;;;;;;;;;;;;;;;;;
;;'² DADOS PRELIMINARES.';;;;;;;;;;;;;;;;;;;;;
;;'³ ANTES DA RECOMPRA NO ÂMBITO DAS ATIVIDADES DE ESTABILIZAÇÃO.';;;;;;;;;;;;;;;;;;;;;
;;'4 PREÇO PONDERADO QUANDO SE TRATAR DE OFERTA PÚBLICA DE AÇÕES ON E PN.';;;;;;;;;;;;;;;;;;;;;
;;'N/D -  NÃO DISPONÍVEL';;;;;;;;;;;;;;;;;;;;;
